Neurona,Fase,Frecuencia,romega,Amplitud
89,6.171421332090448,0.00942477796076938,3.0,3.075938737237633
90,4.58099400197583,0.047123889803846894,15.0,2.933554170646084
91,1.6497037646840338,0.00942477796076938,3.0,0.7349281100547285
92,5.29829032142438,0.047123889803846894,15.0,0.3247332788055779
93,6.088900050954871,0.047123889803846894,15.0,0.5106758324983955
94,2.347501041671521,0.047123889803846894,15.0,0.9143324978650771
95,5.853529181730092,0.047123889803846894,15.0,0.09354010001056157
96,4.4998529658806,0.00942477796076938,3.0,1.3387440958442922
97,2.2736160980064666,0.00942477796076938,3.0,0.7313396861846981
98,1.8642787020800955,0.00942477796076938,3.0,2.790263377742255
99,4.291358691470351,0.00942477796076938,3.0,0.7802764960499293
100,0.34337492802660363,0.00942477796076938,3.0,3.5164547615267816
101,3.674697224934034,0.00942477796076938,3.0,2.0130864200575114
102,6.075224451205168,0.047123889803846894,15.0,1.0180940414178652
103,1.8388112188706038,0.00942477796076938,3.0,0.88561653046458
104,2.4459024732338923,0.047123889803846894,15.0,0.02988534065644277
105,2.046912235977537,0.00942477796076938,3.0,2.3465969113554306
106,4.2886843119120766,0.047123889803846894,15.0,1.0337347681849631
107,5.313203513006324,0.00942477796076938,3.0,3.889308152751648
108,3.304404691357359,0.047123889803846894,15.0,3.74244341132132
109,2.8392673615976345,0.00942477796076938,3.0,3.69060730188696
110,6.144580754094231,0.047123889803846894,15.0,2.2646149294383258
111,5.141186540050579,0.00942477796076938,3.0,0.3888784719619509
112,1.6290987642576562,0.00942477796076938,3.0,0.02112186764757107
113,0.0013016311387544668,0.00942477796076938,3.0,2.892680565388815
114,5.578029157093795,0.00942477796076938,3.0,1.6748335222767037
115,4.068372604313881,0.00942477796076938,3.0,2.9284937131872946
116,3.2304931501107452,0.047123889803846894,15.0,2.343439404833327
117,1.9953880439495408,0.00942477796076938,3.0,0.43999778529017597
118,4.8111340558797595,0.047123889803846894,15.0,0.8853550811813458
119,1.442746973289709,0.047123889803846894,15.0,3.433925558313822
120,1.7165153776379576,0.00942477796076938,3.0,0.8653791727900151
121,5.761653037062083,0.00942477796076938,3.0,3.6212713797557483
122,2.7044722179630987,0.047123889803846894,15.0,0.36588917534422594
123,0.6685062577087392,0.047123889803846894,15.0,3.4081198544429863
124,3.1647599871330026,0.047123889803846894,15.0,1.9101319460708153
125,6.23117630928086,0.047123889803846894,15.0,3.914657036364516
126,5.97359927492959,0.00942477796076938,3.0,1.9701274095572474
127,2.5868998170957287,0.047123889803846894,15.0,2.6487997208330762
128,1.9655596767648889,0.047123889803846894,15.0,1.8173813276981732
129,3.9215207874441993,0.00942477796076938,3.0,0.9776022876348058
130,0.7311686707573446,0.047123889803846894,15.0,2.1637293894641907
131,0.058619371595686136,0.00942477796076938,3.0,3.1102399478348604
132,4.31226213963488,0.047123889803846894,15.0,2.7021477693977904
133,5.150574899514963,0.00942477796076938,3.0,3.7153894011212896
134,1.3611191212833906,0.00942477796076938,3.0,2.688799858777658
135,3.356906651279513,0.00942477796076938,3.0,3.9043254527520252
136,0.16372578327503207,0.00942477796076938,3.0,3.138847145735635
137,5.670530007374002,0.00942477796076938,3.0,0.17306059796773532
138,3.483763994624496,0.00942477796076938,3.0,2.623798850890986
139,3.8971033682778904,0.047123889803846894,15.0,1.5394092081664081
140,0.679514586727703,0.00942477796076938,3.0,3.6792969032501968
141,3.097863163446306,0.00942477796076938,3.0,0.27732806431566814
142,3.480897952495274,0.00942477796076938,3.0,3.6750798648420737
143,0.4098795960677987,0.00942477796076938,3.0,1.3792556069208208
144,2.736954984397278,0.00942477796076938,3.0,0.6084174417016457
145,0.2639817223713542,0.00942477796076938,3.0,0.18983392821777567
146,0.10466189499963686,0.00942477796076938,3.0,1.408694896678531
147,5.252311224189786,0.047123889803846894,15.0,1.6651987659618843
148,5.724880255447359,0.00942477796076938,3.0,3.583567981110752
149,2.3967290142379136,0.047123889803846894,15.0,1.2732950219110784
150,0.930296064732576,0.047123889803846894,15.0,3.5718841937454657
151,5.996115665070707,0.00942477796076938,3.0,2.1394357858954822
152,1.5887605555997,0.047123889803846894,15.0,0.6487425540007266
153,6.191866346422034,0.047123889803846894,15.0,3.9284710969019336
154,0.8620082156886882,0.00942477796076938,3.0,3.638399392157752
155,1.9730777182022203,0.00942477796076938,3.0,3.5167843632631888
156,3.362425151676436,0.047123889803846894,15.0,2.4257413971369877
157,4.609953126235739,0.047123889803846894,15.0,2.1316122499974712
158,2.332427136954518,0.047123889803846894,15.0,3.086307528322628
159,1.6142065465098563,0.047123889803846894,15.0,0.1994007136374245
160,5.587590043578786,0.047123889803846894,15.0,2.0550611211976504
161,5.974922735641166,0.00942477796076938,3.0,3.7086504223668353
162,5.902315682471142,0.047123889803846894,15.0,3.5439534689518024
163,5.0041611116268125,0.047123889803846894,15.0,3.5503368497274193
164,3.6479643286825434,0.047123889803846894,15.0,0.11532654187446001
165,0.25617246326670784,0.047123889803846894,15.0,2.095720136270614
166,3.0249448445906078,0.047123889803846894,15.0,1.7114910839077266
167,0.651817757994453,0.047123889803846894,15.0,1.1612608820738823
168,4.072295834141226,0.00942477796076938,3.0,2.465051298252204
169,3.8286715269996474,0.047123889803846894,15.0,2.364013842633092
170,1.6969799808171857,0.00942477796076938,3.0,1.1629634710030805
171,6.263127482868631,0.047123889803846894,15.0,1.9410461790596467
172,0.8733707776565224,0.047123889803846894,15.0,2.4240942868190176
173,2.740138895585301,0.00942477796076938,3.0,1.454122799254138
174,4.95002537897338,0.047123889803846894,15.0,0.006689117644189224
175,0.3144441275281801,0.047123889803846894,15.0,0.5950821516648772
176,3.6504251184087964,0.00942477796076938,3.0,0.055476257934539586
177,2.589208612728021,0.047123889803846894,15.0,2.8144863430867426
178,0.793938797396635,0.00942477796076938,3.0,1.452448030301087
179,0.07332699510581736,0.00942477796076938,3.0,3.784963318703509
180,6.086600202927194,0.047123889803846894,15.0,0.6994899085370352
181,3.833429614827999,0.00942477796076938,3.0,1.2680662332735824
182,4.268269147128203,0.00942477796076938,3.0,0.8089905893376454
183,0.051160320769084805,0.00942477796076938,3.0,2.5721888125276022
184,1.0332863057324413,0.00942477796076938,3.0,0.9929155038730775
185,4.411967266166295,0.00942477796076938,3.0,1.3191218160427711
186,3.17817323755175,0.047123889803846894,15.0,3.8820413824514155
187,1.4337781438395132,0.00942477796076938,3.0,1.1498192697290053
188,0.22728540624554516,0.047123889803846894,15.0,2.670300693834595
189,0.9376026439667751,0.00942477796076938,3.0,0.02098323777887101
190,2.578323578082334,0.047123889803846894,15.0,0.7128486722092555
191,1.9216649303100912,0.00942477796076938,3.0,0.61243908570327
192,4.06298525019519,0.047123889803846894,15.0,2.6795288949887723
193,2.2516945362972502,0.047123889803846894,15.0,3.000384367042422
194,0.1115382052363487,0.047123889803846894,15.0,2.3278423026800583
195,4.840618231563214,0.047123889803846894,15.0,1.095604679980493
196,2.9353550202690384,0.047123889803846894,15.0,0.2740619512963254
197,2.5376430845592632,0.047123889803846894,15.0,0.6471234079944055
198,5.054666867477498,0.047123889803846894,15.0,0.6453136810415954
199,2.9338154696511767,0.047123889803846894,15.0,0.19889387009983528
